date,close
2002-07-26,36.459
2002-07-29,35.9774
2002-07-30,36.0216
2002-07-31,36.4679
2002-08-01,36.6756
2002-08-02,37.0511
2002-08-05,37.2146
2002-08-06,36.8965
2002-08-07,36.9849
2002-08-08,36.9849
2002-08-09,37.5063
2002-08-12,37.7361
2002-08-13,38.2
2002-08-14,38.3458
2002-08-15,38.01
2002-08-16,37.5858
2002-08-19,37.7007
2002-08-20,38.1205
2002-08-21,37.9172
2002-08-22,37.5858
2002-08-23,37.957
2002-08-26,37.9923
2002-08-27,37.7537
2002-08-28,37.9437
2002-08-29,38.2486
2002-08-30,38.4784
2002-09-03,39.0681
2002-09-04,39.0592
2002-09-05,39.2722
2002-09-06,38.8107
2002-09-09,38.7531
2002-09-10,38.9394
2002-09-11,38.7353
2002-09-12,39.0371
2002-09-13,39.3965
2002-09-16,39.4631
2002-09-17,39.5385
2002-09-18,39.5474
2002-09-19,39.8136
2002-09-20,39.6273
2002-09-23,39.9823
2002-09-24,40.2396
2002-09-25,39.7515
2002-09-26,39.6583
2002-09-27,39.9556
2002-09-30,40.1154
2002-10-01,39.6178
2002-10-02,39.845
2002-10-03,39.747
2002-10-04,39.8717
2002-10-07,39.9385
2002-10-08,39.9519
2002-10-09,40.1568
2002-10-10,39.8405
2002-10-11,39.3684
2002-10-14,39.3105
2002-10-15,38.3795
2002-10-16,38.3973
2002-10-17,37.9296
2002-10-18,38.0276
2002-10-21,37.6579
2002-10-22,37.551
2002-10-23,37.5643
2002-10-24,37.894
2002-10-25,38.032
2002-10-28,37.9786
2002-10-29,38.473
2002-10-30,38.4597
2002-10-31,38.6334
2002-11-01,38.4719
2002-11-04,38.3018
2002-11-05,38.1542
2002-11-06,38.3063
2002-11-07,39.2549
2002-11-08,39.5726
2002-11-11,39.7874
2002-11-12,39.5592
2002-11-13,39.6442
2002-11-14,38.8209
2002-11-15,38.9775
2002-11-18,39.152
2002-11-19,39.2952
2002-11-20,38.9104
2002-11-21,38.5345
2002-11-22,38.4987
2002-11-25,38.4271
2002-11-26,38.9104
2002-11-27,38.0334
2002-11-29,38.2795
